City,Country,Cloudiness,date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
Berdigestyakh,RU,100,1569364720,79,62.1,126.7,36.44,3.33
San Juan,AR,0,1569364720,30,-31.54,-68.53,57.68,2.68
Megion,RU,0,1569364721,86,61.04,76.11,37.4,13.42
Cotonou,BJ,20,1569364721,88,6.37,2.43,80.6,8.05
San Cristobal,HN,75,1569364721,85,14.68,-86.92,72.98,2.73
Meulaboh,ID,100,1569364722,81,4.14,96.13,79.64,3.83
Maunabo,PR,90,1569364722,88,18.01,-65.9,80.6,5.82
Svetlogorsk,RU,75,1569364722,77,53.14,59.15,32.0,13.42
Alice Springs,AU,75,1569364722,100,-23.7,133.88,48.2,4.7
Linares,CL,0,1569364723,81,-35.85,-71.6,60.02,3.04
Astana,KZ,0,1569364454,62,51.13,71.43,32.0,4.47
Beloha,MG,92,1569364723,78,-25.17,45.06,68.3,7.2
Marzuq,YE,19,1569364724,30,14.4,46.47,73.88,3.78
Neuruppin,DE,0,1569364724,87,52.92,12.81,61.0,4.7
Adrar,DZ,0,1569364724,11,27.87,-0.29,93.2,10.29
Vanimo,PG,99,1569364725,76,-2.67,141.3,81.62,1.36
Aripuana,BR,91,1569364725,49,-9.17,-60.63,82.52,1.05
Presidencia Roque Saenz Pena,AR,25,1569364725,54,-26.79,-60.44,69.92,6.73
Faanui,PF,20,1569364726,77,-16.48,-151.75,80.0,19.51
Aklavik,CA,40,1569364726,61,68.22,-135.01,46.4,3.36
Labytnangi,RU,100,1569364726,98,66.66,66.39,30.14,4.27
Guanica,PR,75,1569364727,94,17.97,-66.91,82.0,3.36
Nizhniy Kuranakh,RU,100,1569364727,86,58.84,125.49,34.82,4.45
Kailua,US,40,1569364727,58,21.39,-157.74,89.6,12.75
Ostrovnoy,RU,99,1569364727,86,68.05,39.51,38.24,13.15
Holme,DK,99,1569364728,100,56.11,10.17,57.2,3.36
Jijiga,ET,15,1569364728,71,9.35,42.8,59.12,2.44
Tura,RU,37,1569364728,86,64.27,100.22,36.8,9.66
Navlya,RU,0,1569364729,92,52.83,34.5,32.48,2.06
Kirkwall,GB,100,1569364729,100,58.98,-2.96,55.4,13.87
Marihatag,PH,6,1569364729,65,8.8,126.3,82.7,0.89
Shemursha,RU,100,1569364729,92,54.89,47.52,33.74,7.4
Donskoy,RU,0,1569364730,86,47.12,39.32,41.0,2.24
Blackwater,GB,90,1569364730,93,51.33,-0.78,60.01,12.75
Waingapu,ID,74,1569364731,72,-9.65,120.26,78.74,14.36
Kadnikov,RU,87,1569364731,96,59.5,40.34,31.04,5.19
Aracuai,BR,40,1569364731,72,-16.85,-42.07,63.62,5.84
Atbasar,KZ,24,1569364731,69,51.81,68.36,36.98,7.85
Gillette,US,20,1569364732,30,44.29,-105.5,72.0,13.87
Namanga,KE,12,1569364732,82,-2.55,36.79,60.2,6.6
Nador,MA,49,1569364732,78,35.17,-2.93,71.6,1.12
Tarazona,ES,2,1569364733,68,41.91,-1.72,77.0,6.93
Mmabatho,ZA,0,1569364733,39,-25.85,25.61,64.4,8.05
Itapaci,BR,30,1569364733,34,-14.95,-49.55,80.9,5.77
Aldan,RU,100,1569364734,86,58.61,125.39,34.82,4.45
Chilca,PE,20,1569364734,33,-13.22,-72.34,62.6,13.87
Shingu,JP,10,1569364734,65,33.72,135.99,68.66,4.85
Kindu,CD,100,1569364735,91,-2.95,25.92,69.74,2.3
Huarmey,PE,18,1569364735,93,-10.07,-78.15,61.82,14.2
Altay,CN,67,1569364735,44,47.83,88.13,52.28,1.57
Lahaina,US,90,1569364736,83,20.87,-156.68,91.4,8.05
Tamboril,BR,100,1569364736,47,-4.83,-40.32,81.62,3.58
Cabedelo,BR,40,1569364736,88,-6.97,-34.84,77.0,11.41
Bereda,ES,75,1569364737,87,43.27,-7.54,63.0,4.7
Kamenka,MD,65,1569364737,78,48.03,28.7,46.0,6.22
Port Hedland,AU,74,1569364737,82,-20.31,118.58,59.0,4.7
Bugene,TZ,85,1569364738,72,-1.59,31.14,67.22,2.91
Mitsamiouli,KM,39,1569364738,75,-11.38,43.28,79.1,17.05
Victoria,BN,75,1569364701,62,5.28,115.24,84.2,9.17
Bathsheba,BB,20,1569364739,78,13.22,-59.52,82.4,12.75
Itamarandiba,BR,0,1569364739,78,-17.86,-42.86,58.58,4.79
Husavik,CA,80,1569364739,42,50.56,-96.99,64.99,9.75
Pontianak,ID,100,1569364739,76,-0.02,109.34,81.8,4.09
Oktyabrskoye,RU,0,1569364740,85,56.73,85.44,41.0,8.95
Cherskiy,RU,0,1569364740,60,68.75,161.3,34.64,8.43
Kenai,US,75,1569364741,66,60.55,-151.26,54.0,4.7
Colorado Springs,US,1,1569364663,12,38.83,-104.83,82.99,9.17
Matara,BI,60,1569364741,71,-3.48,29.48,54.8,0.76
Novaya Ladoga,RU,100,1569364742,73,60.11,32.31,34.0,9.28
Erdenet,MN,100,1569364742,65,49.03,104.04,53.9,2.06
Ust-Nera,RU,3,1569364743,65,64.57,143.24,27.08,5.79
Miri,NG,20,1569364743,65,10.31,9.75,74.06,4.34
Coahuayana,MX,22,1569364743,81,18.62,-100.35,79.64,2.44
Wattegama,LK,97,1569364744,87,7.35,80.68,70.82,2.57
Kolyshley,RU,34,1569364744,61,52.7,44.54,41.0,6.71
Dondo,MZ,40,1569364744,73,-19.62,34.74,77.0,14.99
La Primavera,AR,0,1569364744,19,-32.92,-68.67,78.8,3.36
Komsomolskiy,RU,100,1569364745,97,67.55,63.78,32.66,14.81
Nautla,MX,61,1569364745,76,20.22,-96.78,83.42,10.2
Okhotsk,RU,100,1569364745,77,59.36,143.24,37.34,23.69
Tres Picos,MX,88,1569364746,97,16.23,-93.58,71.72,1.79
Rugeley,GB,75,1569364746,93,52.76,-1.94,59.0,8.05
Burnie,AU,21,1569364747,60,-41.05,145.91,53.54,6.87
Port Moresby,PG,40,1569364747,88,-9.47,147.16,77.0,11.41
Brandon,US,75,1569364747,42,43.59,-96.57,80.6,19.46
Kuching,MY,75,1569364748,100,1.56,110.34,77.0,10.29
Adre,TD,63,1569364748,53,13.47,22.2,79.82,2.21
Tahoua,NE,39,1569364749,21,14.89,5.26,90.8,3.33
Bonfim,BR,0,1569364750,38,-20.33,-44.24,77.0,10.29
Carutapera,BR,33,1569364750,79,-1.2,-46.02,79.64,8.14
Puerto Madryn,AR,8,1569364475,45,-42.77,-65.04,62.54,9.48
Darhan,MN,16,1569364751,65,49.49,105.92,55.34,2.01
Hervey Bay,AU,40,1569364751,73,-25.3,152.85,75.99,9.17
Vicenza,IT,20,1569364751,93,45.55,11.55,64.4,3.36
Farah,AF,0,1569364752,30,32.37,62.11,67.22,4.38
Jiangyan,CN,99,1569364752,66,32.51,120.12,77.0,3.06
Madimba,CM,75,1569364753,100,4.42,9.93,77.0,3.51
Sinnamary,GF,56,1569364753,80,5.38,-52.96,81.62,12.86
Koson,UZ,0,1569364753,63,39.04,65.59,62.6,8.9
Muravlenko,RU,100,1569364754,94,63.79,74.5,33.02,20.78
Luwuk,ID,0,1569364754,58,-0.95,122.79,68.3,4.72
Lloydminster,CA,75,1569364717,50,53.28,-110.01,55.4,23.04
Namibe,AO,79,1569364755,90,-15.19,12.15,68.84,4.83
Istanbul,TR,75,1569364502,82,41.01,28.95,66.2,6.93
Brodnica,PL,100,1569364756,76,53.26,19.4,51.01,1.01
Tuatapere,NZ,83,1569364756,81,-46.13,167.69,45.0,5.01
Udachnyy,RU,75,1569364756,87,66.42,112.4,33.8,6.71
Chernyshevsk,RU,12,1569364757,70,52.51,117.01,48.5,0.13
Williams Lake,CA,75,1569364757,43,52.13,-122.14,57.2,9.17
Minas de Barroteran,MX,4,1569364758,42,27.63,-101.28,88.28,8.16
Mount Isa,AU,45,1569364758,22,-20.73,139.49,69.8,11.41
Pangody,RU,100,1569364758,87,65.85,74.49,36.62,21.07
Muli,CN,99,1569364758,56,28.08,109.56,69.02,1.99
Lipin Bor,RU,100,1569364759,97,60.26,37.97,33.74,4.54
Whitehorse,CA,75,1569364759,50,60.72,-135.06,52.0,5.28
Bima,ID,70,1569364759,68,-8.45,118.73,79.28,5.23
Kot Samaba,PK,0,1569364760,47,28.55,70.47,85.22,4.14
Anadyr,RU,40,1569364760,55,64.73,177.51,35.6,6.71
Shizunai,JP,0,1569364642,52,42.33,142.37,60.38,20.24
Dickson,US,1,1569364610,33,36.08,-87.39,81.0,4.7
The Valley,AI,75,1569364761,94,18.22,-63.06,77.0,11.41
Morondava,MG,0,1569364761,69,-20.3,44.28,75.86,22.08
Genhe,CN,15,1569364761,61,50.78,121.52,48.5,2.13
Salinas,US,1,1569364762,21,36.67,-121.66,96.01,9.17
Sungaipenuh,ID,77,1569364762,89,-2.08,101.38,73.52,1.39
Gorontalo,ID,27,1569364706,54,0.54,123.06,81.8,3.02
Sanford,US,1,1569364570,77,43.44,-70.77,69.01,5.82
Fairbanks,US,90,1569364500,65,64.84,-147.72,44.01,3.13
Barao de Melgaco,BR,40,1569364763,43,-16.19,-55.97,89.6,13.87
Log,SI,90,1569364763,100,46.0,15.32,57.2,3.36
Anloga,GH,20,1569364764,83,5.79,0.9,80.6,8.05
Haukipudas,FI,0,1569364764,83,65.17,25.5,32.0,1.12
Numan,NG,100,1569364764,85,9.46,12.04,77.48,5.75
Brigantine,US,90,1569364765,50,39.41,-74.36,75.2,9.17
Kachiry,KZ,50,1569364765,63,53.07,76.1,41.12,6.2
Gambela,ET,100,1569364765,75,8.25,34.59,70.28,4.88
Bondoukou,CI,19,1569364765,91,8.04,-2.8,70.1,1.25
Palaiokhorion,GR,90,1569364766,93,40.95,24.18,66.99,4.7
Hof,DE,75,1569364766,100,50.32,11.92,57.0,8.57
Venado Tuerto,AR,0,1569364767,35,-33.75,-61.97,64.0,6.11
Banda Aceh,ID,100,1569364767,76,5.56,95.32,81.44,4.18
San Jeronimo,PE,29,1569364767,85,-13.65,-73.37,52.28,5.53
Yueyang,CN,99,1569364768,44,29.36,113.12,73.88,2.8
Nuqui,CO,20,1569364768,79,5.71,-77.27,84.2,5.82
Okha,RU,100,1569364769,80,53.59,142.95,45.62,42.79
Launceston,AU,15,1569364546,81,-41.43,147.14,53.01,0.83
Benguela,AO,60,1569364770,89,-12.58,13.4,71.72,5.37
Nyangao,TZ,0,1569364770,85,-10.33,39.28,67.4,5.82
Lompoc,US,1,1569364685,47,34.64,-120.46,102.99,19.46
Ranong,TH,91,1569364771,85,9.96,98.62,78.92,7.02
Baft,IR,0,1569364771,66,29.23,56.61,52.1,3.56
Ilebo,CD,100,1569364772,90,-4.33,20.59,70.64,1.21
